*** Compte-rendu de la simulation *** 
Conditions initiales de la simulation : 
Angle initial = 90degre
Vitesse initial = 2 m/s
Taille tige = 5 m
Masse marteau = 2 kg
Coefficient de frottements = 0.025
Section Eprouvette = 5 cm*cm 
Materiau eprouvette : Bois de châtaignier de resilience : 6.0 J/cm*cm 
L'eprouvette a ete detruite ! 
temps (ms);angleRad;vitesseAngulaire 
31800;0.03660597856110068;0.29010331335214345
31815;0.040945670422877056;0.28931279078509214
31830;0.04527302767623153;0.2884904835569647
31845;0.04958757580710487;0.28763654205822264
31860;0.05388884260778955;0.28675112004564507
31875;0.05817635822706787;0.28583437461855493
31890;0.062449655219988395;0.28488646619470165
31905;0.06670826859727544;0.28390755848580324
31920;0.07095173587436672;0.28289781847275175
31935;0.07517959712007401;0.2818574163804859
31950;0.07939139500486202;0.28078652565253426
31965;0.08358667484874051;0.2796853229252331
31980;0.08776498466876484;0.27855398800162245
31995;0.0919258752261402;0.277392703825024
32010;0.09606890007292478;0.2762016564523053
32025;0.10019361559832728;0.2749810350268336
32040;0.10429958107459412;0.2737310317511229
32055;0.10838635870248182;0.2724518418591797
32070;0.11245351365631005;0.2711436635885489
32085;0.11650061412859104;0.26980669815206626
32100;0.12052723137423084;0.26844114970932
32115;0.12453293975429823;0.26704722533782566
32130;0.12851731677935702;0.2656251350039191
32145;0.1324799431523576;0.26417509153337065
32160;0.13642040281108347;0.2626973105817252
32175;0.14033828297014905;0.261192010604372
32190;0.14423317416254428;0.2596594128263488
32205;0.14810467028072252;0.25809974121188334
32220;0.1519523686172277;0.25651322243367797
32235;0.15577586990485678;0.2549000858419402
32250;0.15957477835635425;0.253260563433164
32265;0.16334870170363425;0.25159488981866623
32280;0.16709725123652747;0.24990330219288184
32295;0.17082004184104882;0.2481860403014228
32310;0.1745166920371824;0.2464433464089044
32325;0.17818682401618055;0.2446754652665436
32340;0.18183006367737356;0.24288264407953364
32355;0.18544604066448656;0.24106513247419903
32370;0.18903438840146058;0.23922318246493557
32385;0.19259474412777466;0.23735704842093938
32400;0.19612674893326562;0.23546698703272959
32415;0.19963004779244264;0.2335532572784687
32430;0.20310428959829394;0.23161612039008547
32445;0.206549127195582;0.22965583981920404
32460;0.20996421741362525;0.22767268120288436
32475;0.2133492210985629;0.2256669123291778
32490;0.21670380314510046;0.22363880310250242
32505;0.2200276325277331;0.2215886255088427
32520;0.22332038233144477;0.21951665358077752
32535;0.22658172978187988;0.21742316336234116
32550;0.2298113562749857;0.2153084328737218
32565;0.2330089474061227;0.2131727420758018
32580;0.23617419299864087;0.21101637283454397
32595;0.2393067871319193;0.20883960888522873
32610;0.24240642816886748;0.20664273579654624
32625;0.2454728187828857;0.20442604093454794
32640;0.24850566598428264;0.20218981342646217
32655;0.2515046811461483;0.199934344124378
32670;0.25446958002968034;0.1976599255688019
32685;0.2574000828089617;0.19536685195209166
32700;0.26029591409518826;0.19305541908177176
32715;0.26315680296034427;0.19072592434373511
32730;0.2659824829603243;0.188378666665335
32745;0.2687726921574999;0.18601394647837213
32760;0.2715271731427296;0.18363206568198084
32775;0.2742456730568109;0.18123332760541933
32790;0.2769279436113724;0.17881803697076776
32805;0.2795737411092055;0.17638649985553911
32820;0.28218282646403364;0.17393902365520703
32835;0.2847549652197185;0.17147591704565493
32850;0.28728992756890176;0.168997489945551
32865;0.28978748837108154;0.16650405347865335
32880;0.2922474271701223;0.16399591993604973
32895;0.29466952821119735;0.16147340273833605
32910;0.2970535804571634;0.1589368163977384
32925;0.29939937760436613;0.15638647648018267
32940;0.30170671809787586;0.153822699567316
32955;0.3039754051461531;0.151245803218485
32970;0.3062052467351432;0.14865610593267417
32985;0.30839605564179934;0.14605392711040988
33000;0.31054764944703384;0.14343958701563328
33015;0.31265985054809703;0.1408134067375471
33030;0.31473248617038363;0.13817570815244049
33045;0.3167653883786661;0.13552681388549578
33060;0.3187583940877548;0.13286704727258225
33075;0.3207113450725854;0.13019673232204032
